Generated by Tarma® Installer 5.9.4239 (2011.08.09.0857U)
© 1990-2011 Tarma Software Research Pty Ltd. All rights reserved.

Log file opened at 2012-10-01 08:33:47

00046029|BLD:Q0042|0000|6C7690DB42735492|Developer|Icon file C:\svnroot\Code\ES2012\CodeGeneration\StandAlone\esIconInstaller.ico does not contain 48x48x256 icon image
0004602A|BLD:Q0043|0000|6C7690DB42735492|Developer|Icon file C:\svnroot\Code\ES2012\CodeGeneration\StandAlone\esIconInstaller.ico does not contain 32x32x16 icon image
0004602B|BLD:Q0044|0000|6C7690DB42735492|Developer|Icon file C:\svnroot\Code\ES2012\CodeGeneration\StandAlone\esIconInstaller.ico does not contain 16x16x16 icon image
00046033|BLD:Q0052|0000|8E505EF6057EE30C|Product|Product version is empty or not in n.n.n.n format
00046043|BLD:Q0068|0000|152B59E02C8D5782|Installer|Running processes check may not be available on NT4
0004606F|BLD:Q0112|0000|72169D0A5855B720|Product|Folder browsing selected, but no folder alias specified
00046057|BLD:Q0088|0000|8CA52B4E6AF03485|BusinessObjects_1.0.0.0_L_8ee33cc088a9130e_MSIL_806E0C37CA540EDA|Component contains no installation objects
0004A086|BLD:W0135|0000|8CA52B4E6AF03485|BusinessObjects_1.0.0.0_L_8ee33cc088a9130e_MSIL_806E0C37CA540EDA|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|78B76127872C168F|EntitySpaces.Core_2011.0.331.0_127bcb8ceedbe220_MSIL_4D584DF4B03B5194|Component contains no installation objects
0004A086|BLD:W0135|0000|78B76127872C168F|EntitySpaces.Core_2011.0.331.0_127bcb8ceedbe220_MSIL_4D584DF4B03B5194|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|DCADE0551DEA7852|EntitySpaces.DynamicQuery_2011.0.331.0_127bcb8ceedbe220_12D5A80D955486C8|Component contains no installation objects
0004A086|BLD:W0135|0000|DCADE0551DEA7852|EntitySpaces.DynamicQuery_2011.0.331.0_127bcb8ceedbe220_12D5A80D955486C8|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|DBB3D9568DA4B4C5|EntitySpaces.Interfaces_2011.0.331.0_127bcb8ceedbe220_M_8C67AA198989854A|Component contains no installation objects
0004A086|BLD:W0135|0000|DBB3D9568DA4B4C5|EntitySpaces.Interfaces_2011.0.331.0_127bcb8ceedbe220_M_8C67AA198989854A|.Net assembly must have .Net assembly file as its manifest
